 	Release Date	Movie	Production Budget	Domestic Gross	Worldwide Gross
874 	11/22/2006 	Deck the Halls 	$51,000,000 	$35,093,569 	$46,815,807
875 	3/4/2011 	The Adjustment Bureau 	$50,200,000 	$62,495,645 	$126,931,325
876 	11/20/2009 	The Twilight Saga: New Moon 	$50,000,000 	$296,623,648 	$686,862,580
877 	5/18/2001 	Shrek 	$50,000,000 	$267,655,011 	$491,812,794
878 	6/29/2012 	Ted 	$50,000,000 	$218,665,744 	$556,016,631
879 	6/13/2014 	22 Jump Street 	$50,000,000 	$191,719,344 	$331,333,883
880 	6/14/1991 	Robin Hood: Prince of Thieves 	$50,000,000 	$165,493,908 	$390,500,000
881 	12/13/1996 	Jerry Maguire 	$50,000,000 	$153,952,592 	$274,000,000
882 	12/24/1997 	As Good as it Gets 	$50,000,000 	$148,478,011 	$314,111,923
883 	12/25/1998 	Patch Adams 	$50,000,000 	$135,041,968 	$202,200,000
884 	12/18/2013 	Anchorman 2: The Legend Continues 	$50,000,000 	$127,359,575 	$172,192,622
885 	6/9/2011 	Super 8 	$50,000,000 	$127,004,179 	$257,972,745
886 	12/25/2014 	Into the Woods 	$50,000,000 	$126,678,618 	$172,578,618
887 	6/28/2002 	Mr. Deeds 	$50,000,000 	$126,293,452 	$171,269,535
888 	3/17/2000 	Erin Brockovich 	$50,000,000 	$125,548,688 	$257,805,246
889 	2/7/2003 	How to Lose a Guy in 10 Days 	$50,000,000 	$105,807,520 	$177,079,973
890 	11/11/1994 	Interview with the Vampire: The Vampire Chronicles 	$50,000,000 	$105,264,608 	$223,564,608
891 	12/19/2008 	Yes Man 	$50,000,000 	$97,690,976 	$225,990,976
892 	2/28/2014 	Non-Stop 	$50,000,000 	$92,168,600 	$213,168,600
893 	12/25/1998 	Stepmom 	$50,000,000 	$91,137,662 	$159,745,279
894 	8/9/2013 	Disney Planes 	$50,000,000 	$90,282,580 	$219,782,580
895 	3/10/2006 	Failure to Launch 	$50,000,000 	$88,715,192 	$128,402,901
896 	3/24/2006 	Inside Man 	$50,000,000 	$88,634,237 	$185,798,265
897 	7/29/2011 	Crazy, Stupid, Love 	$50,000,000 	$84,351,200 	$147,142,331
898 	2/5/1999 	Payback 	$50,000,000 	$81,526,121 	$161,626,121
899 	6/9/1995 	Congo 	$50,000,000 	$81,022,333 	$152,022,333
900 	3/20/2009 	Knowing 	$50,000,000 	$79,957,634 	$186,450,317
901 	3/18/2005 	The Ring Two 	$50,000,000 	$75,941,728 	$161,941,728
902 	11/26/2011 	We Bought a Zoo 	$50,000,000 	$75,624,552 	$118,729,075
903 	9/23/2011 	Moneyball 	$50,000,000 	$75,605,492 	$111,300,835
904 	6/11/2004 	Garfield 	$50,000,000 	$75,367,696 	$200,802,641
905 	11/24/2004 	Christmas with the Kranks 	$50,000,000 	$73,701,904 	$96,469,189
906 	3/17/2006 	V for Vendetta 	$50,000,000 	$70,511,035 	$130,214,162
907 	3/10/1995 	Outbreak 	$50,000,000 	$67,823,573 	$67,823,573
908 	3/13/2009 	Race to Witch Mountain 	$50,000,000 	$67,172,594 	$105,103,783
909 	9/24/2004 	The Forgotten 	$50,000,000 	$66,711,892 	$117,211,892
910 	6/22/2005 	Herbie: Fully Loaded 	$50,000,000 	$66,010,682 	$144,110,682
911 	2/7/2003 	Shanghai Knights 	$50,000,000 	$60,470,220 	$88,316,835
912 	7/18/2014 	Planes: Fire and Rescue 	$50,000,000 	$59,157,732 	$96,657,732
913 	2/10/2006 	Curious George 	$50,000,000 	$58,640,119 	$71,052,604
914 	4/6/2012 	American Reunion 	$50,000,000 	$56,758,836 	$236,799,212
915 	1/25/2013 	Hansel & Gretel: Witch Hunters 	$50,000,000 	$55,703,476 	$214,949,717
916 	2/18/2011 	I am Number Four 	$50,000,000 	$55,100,437 	$146,195,159
917 	9/28/2001 	Don't Say a Word 	$50,000,000 	$54,997,476 	$104,488,383
918 	5/8/2002 	Unfaithful 	$50,000,000 	$52,752,476 	$119,114,495
919 	11/23/2005 	Syriana 	$50,000,000 	$50,824,620 	$92,690,959
920 	9/10/2004 	Resident Evil: Apocalypse 	$50,000,000 	$50,740,080 	$125,168,736
921 	10/17/2014 	The Book of Life 	$50,000,000 	$50,150,620 	$92,950,620
922 	2/14/1997 	Absolute Power 	$50,000,000 	$50,068,310 	$50,068,310
923 	2/10/2006 	Firewall 	$50,000,000 	$48,751,189 	$82,751,189
924 	9/12/1997 	The Game 	$50,000,000 	$48,265,581 	$80,369,970
925 	8/22/1997 	G.I. Jane 	$50,000,000 	$48,169,156 	$48,169,156
926 	8/8/2014 	Into the Storm 	$50,000,000 	$47,602,194 	$156,602,194
927 	10/10/2014 	The Judge 	$50,000,000 	$47,119,388 	$76,119,388
928 	4/21/2006 	Silent Hill 	$50,000,000 	$46,982,632 	$99,982,632
929 	8/11/2000 	The Replacements 	$50,000,000 	$44,737,060 	$50,054,512
930 	7/29/1998 	The Negotiator 	$50,000,000 	$44,705,766 	$49,105,766
931 	5/25/1994 	Beverly Hills Cop III 	$50,000,000 	$42,586,861 	$119,180,938
932 	6/15/1990 	Gremlins 2: The New Batch 	$50,000,000 	$41,476,097 	$41,476,097
933 	9/26/1997 	The Peacemaker 	$50,000,000 	$41,263,140 	$62,967,368
934 	10/3/2003 	Out of Time 	$50,000,000 	$41,083,108 	$55,489,826
935 	11/12/2004 	Bridget Jones: The Edge Of Reason 	$50,000,000 	$40,203,020 	$263,894,551
936 	2/11/2000 	The Beach 	$50,000,000 	$39,778,600 	$39,778,600
937 	6/10/2005 	The Adventures of Sharkboy and Lavagirl in 3-D 	$50,000,000 	$39,177,684 	$69,425,966
938 	2/18/1994 	On Deadly Ground 	$50,000,000 	$38,590,458 	$38,590,458
939 	11/25/2009 	Ninja Assassin 	$50,000,000 	$38,122,884 	$62,209,893
940 	5/28/2004 	Raising Helen 	$50,000,000 	$37,485,528 	$43,340,302
941 	9/17/1999 	For Love of the Game 	$50,000,000 	$35,188,640 	$46,112,640
942 	12/11/1998 	Jack Frost 	$50,000,000 	$34,645,374 	$34,645,374
943 	6/4/2010 	Marmaduke 	$50,000,000 	$33,644,788 	$84,023,611
944 	6/28/1996 	Striptease 	$50,000,000 	$33,109,743 	$113,309,743
945 	10/15/2010 	Hereafter 	$50,000,000 	$32,746,941 	$105,246,941
946 	4/19/2002 	Murder by Numbers 	$50,000,000 	$31,874,869 	$56,643,267
947 	10/6/1995 	Assassins 	$50,000,000 	$30,306,268 	$83,306,268
948 	12/31/2008 	Defiance 	$50,000,000 	$28,644,813 	$42,268,745
949 	2/9/2007 	Hannibal Rising 	$50,000,000 	$27,669,725 	$80,583,311
950 	10/15/1999 	The Story of Us 	$50,000,000 	$27,100,030 	$27,100,030
951 	3/29/2013 	The Host 	$50,000,000 	$26,623,701 	$64,477,051
952 	3/28/2003 	Basic 	$50,000,000 	$26,599,248 	$42,598,498
953 	8/9/2002 	Blood Work 	$50,000,000 	$26,199,517 	$26,199,517
954 	2/13/2009 	The International 	$50,000,000 	$25,450,528 	$53,850,528
955 	8/9/1996 	Escape from L.A. 	$50,000,000 	$25,426,861 	$25,426,861
956 	2/27/2004 	Twisted 	$50,000,000 	$25,195,050 	$40,119,848
957 	12/10/2004 	The Life Aquatic with Steve Zissou 	$50,000,000 	$24,006,726 	$34,806,726
958 	8/4/1999 	The Iron Giant 	$50,000,000 	$23,159,305 	$31,333,917
959 	4/8/2011 	Your Highness 	$50,000,000 	$21,596,445 	$26,121,638
960 	9/30/2011 	Dream House 	$50,000,000 	$21,302,340 	$39,932,340
961 	9/4/2009 	Gamer 	$50,000,000 	$20,534,908 	$42,002,030
962 	2/25/2005 	Man of the House 	$50,000,000 	$19,699,706 	$22,099,706
963 	2/21/2003 	The Life of David Gale 	$50,000,000 	$19,694,636 	$28,920,189
964 	2/14/2013 	Beautiful Creatures 	$50,000,000 	$19,452,138 	$60,282,876
965 	9/30/2005 	Into the Blue 	$50,000,000 	$18,782,227 	$41,982,227
966 	9/14/2007 	Eastern Promises 	$50,000,000 	$17,181,265 	$56,077,088
967 	7/1/1994 	Baby's Day Out 	$50,000,000 	$16,581,575 	$16,581,575
968 	11/12/1999 	The Messenger: The Story of Joan of Arc 	$50,000,000 	$14,271,298 	$14,271,298
969 	11/3/1995 	Fair Game 	$50,000,000 	$11,497,498 	$26,097,498
970 	2/25/2011 	Drive Angry 	$50,000,000 	$10,721,034 	$40,886,465
971 	11/7/1997 	Mad City 	$50,000,000 	$10,561,038 	$10,561,038
972 	10/13/1995 	The Scarlet Letter 	$50,000,000 	$10,359,006 	$10,359,006
973 	10/14/2005 	Domino 	$50,000,000 	$10,169,202 	$22,969,202
974 	10/13/1995 	Jade 	$50,000,000 	$9,812,870 	$9,812,870
975 	2/27/2009 	Street Fighter: The Legend of Chun-Li 	$50,000,000 	$9,135,036 	$12,335,036
976 	3/29/2002 	Death to Smoochy 	$50,000,000 	$8,355,815 	$8,374,062
977 	11/13/2009 	The Boat That Rocked 	$50,000,000 	$8,017,467 	$37,472,651
978 	1/30/2004 	The Big Bounce 	$50,000,000 	$6,471,394 	$6,626,115
979 	3/3/2000 	What Planet Are You From? 	$50,000,000 	$6,291,602 	$6,291,602
980 	1/23/2009 	Outlander 	$50,000,000 	$166,003 	$1,250,617
981 	12/31/2011 	Hannibal the Conqueror 	$50,000,000 	$0 	$0
982 	4/17/2015 	Child 44 	$50,000,000 	$0 	$0
983 	11/2/2001 	The One 	$49,000,000 	$43,905,746 	$43,905,746
984 	11/16/2012 	Anna Karenina 	$49,000,000 	$12,816,368 	$71,004,628
985 	5/24/1989 	Indiana Jones and the Last Crusade 	$48,000,000 	$197,171,806 	$474,171,806
986 	10/18/2002 	The Ring 	$48,000,000 	$129,094,024 	$248,218,486
987 	12/27/2000 	Traffic 	$48,000,000 	$124,107,476 	$208,300,000
988 	3/29/2002 	Panic Room 	$48,000,000 	$95,308,368 	$196,308,368
989 	1/9/2015 	Taken 3 	$48,000,000 	$87,632,985 	$287,732,985
990 	8/6/1999 	The Thomas Crown Affair 	$48,000,000 	$69,304,264 	$124,304,264
991 	11/5/1999 	The Bone Collector 	$48,000,000 	$66,488,090 	$151,463,090
992 	10/1/1999 	Three Kings 	$48,000,000 	$60,652,036 	$107,752,036
993 	1/22/2010 	The Tooth Fairy 	$48,000,000 	$60,022,256 	$112,610,386
994 	8/17/2001 	Rat Race 	$48,000,000 	$56,607,224 	$86,607,224
995 	9/2/2007 	3:10 to Yuma 	$48,000,000 	$53,606,916 	$71,171,825
996 	10/26/2001 	K-PAX 	$48,000,000 	$50,315,140 	$50,315,140
997 	12/25/2001 	Kate and Leopold 	$48,000,000 	$47,095,453 	$70,937,778
998 	10/20/2000 	Bedazzled 	$48,000,000 	$37,879,996 	$90,376,224
999 	6/26/1998 	Out of Sight 	$48,000,000 	$37,562,568 	$77,562,568
1000 	12/14/1984 	The Cotton Club 	$48,000,000 	$25,928,721 	$25,928,721
1001 	1/25/2008 	Rambo 	$47,500,000 	$42,754,105 	$112,214,531
1002 	6/15/1990 	Dick Tracy 	$47,000,000 	$103,738,726 	$162,738,726
1003 	6/14/1996 	The Cable Guy 	$47,000,000 	$60,240,295 	$102,825,796
1004 	10/19/2001 	Riding in Cars with Boys 	$47,000,000 	$29,781,453 	$29,781,453
1005 	1/5/2007 	Happily N'Ever After 	$47,000,000 	$15,849,032 	$37,923,818
1006 	11/27/2002 	Solaris 	$47,000,000 	$14,970,038 	$14,970,038
1007 	6/18/2010 	Jonah Hex 	$47,000,000 	$10,547,118 	$11,022,697
1008 	2/23/1996 	Mary Reilly 	$47,000,000 	$5,707,094 	$12,900,000
1009 	6/20/1997 	My Best Friend's Wedding 	$46,000,000 	$126,813,153 	$298,923,419
1010 	7/20/2001 	America's Sweethearts 	$46,000,000 	$93,607,673 	$160,648,493
1011 	11/22/1996 	Star Trek: First Contact 	$46,000,000 	$92,027,888 	$150,000,000
1012 	5/24/2002 	Insomnia 	$46,000,000 	$67,263,184 	$113,622,501
1013 	9/20/2013 	Prisoners 	$46,000,000 	$61,002,304 	$113,402,304
1014 	7/12/1996 	Courage Under Fire 	$46,000,000 	$59,003,384 	$100,833,145
1015 	9/17/1982 	Inchon 	$46,000,000 	$4,408,636 	$4,408,636
1016 	3/21/1997 	Liar Liar 	$45,000,000 	$181,410,615 	$302,710,615
1017 	11/20/1998 	A Bug's Life 	$45,000,000 	$162,798,565 	$363,095,319
1018 	10/5/2012 	Taken 2 	$45,000,000 	$139,854,288 	$377,807,405
1019 	5/27/1994 	The Flintstones 	$45,000,000 	$130,531,208 	$358,500,000
1020 	10/24/2003 	Scary Movie 3 	$45,000,000 	$110,000,082 	$155,200,000
1021 	12/22/2000 	Miss Congeniality 	$45,000,000 	$106,807,667 	$213,420,951
1022 	7/11/2008 	Journey to the Center of the Earth 	$45,000,000 	$101,704,370 	$243,180,937
1023 	12/17/1993 	The Pelican Brief 	$45,000,000 	$100,768,056 	$187,995,859
1024 	8/11/2004 	The Princess Diaries 2: Royal Engagement 	$45,000,000 	$95,149,435 	$122,071,435
1025 	12/25/2007 	The Bucket List 	$45,000,000 	$93,466,504 	$174,810,817
1026 	7/20/1994 	The Client 	$45,000,000 	$92,115,211 	$117,615,211
1027 	11/23/2011 	The Muppets 	$45,000,000 	$88,625,922 	$160,971,922
1028 	6/5/1992 	Patriot Games 	$45,000,000 	$83,287,363 	$178,100,000
1029 	5/13/2005 	Monster-in-Law 	$45,000,000 	$82,931,304 	$155,931,304
1030 	10/5/2001 	Training Day 	$45,000,000 	$76,261,040 	$104,505,366
1031 	12/24/1999 	Galaxy Quest 	$45,000,000 	$71,423,728 	$90,523,728
1032 	7/4/2001 	Scary Movie 2 	$45,000,000 	$71,277,424 	$141,189,105
1033 	8/21/1998 	Blade 	$45,000,000 	$70,141,876 	$131,237,688
1034 	1/14/2005 	Coach Carter 	$45,000,000 	$67,264,880 	$76,665,510
1035 	3/19/2010 	The Bounty Hunter 	$45,000,000 	$67,061,228 	$134,279,918
1036 	4/12/2002 	Changing Lanes 	$45,000,000 	$66,790,248 	$66,790,248
1037 	4/11/1997 	Anaconda 	$45,000,000 	$65,598,907 	$136,998,907
1038 	1/20/2006 	Underworld: Evolution 	$45,000,000 	$62,318,876 	$113,417,763
1039 	8/4/2000 	Coyote Ugly 	$45,000,000 	$60,786,269 	$115,786,269
1040 	11/7/2003 	Love Actually 	$45,000,000 	$59,472,280 	$247,967,905
1041 	8/9/1996 	Jack 	$45,000,000 	$58,617,336 	$58,617,336
1042 	10/7/1994 	The Specialist 	$45,000,000 	$57,362,581 	$57,362,581
1043 	8/16/1996 	Tin Cup 	$45,000,000 	$53,854,588 	$75,854,588
1044 	11/23/2005 	Yours, Mine and Ours 	$45,000,000 	$53,359,917 	$72,359,917
1045 	5/13/2005 	Kicking and Screaming 	$45,000,000 	$52,842,724 	$55,842,724
1046 	4/29/2005 	The Hitchhiker's Guide to the Galaxy 	$45,000,000 	$51,019,112 	$102,746,214
1047 	9/21/2007 	Resident Evil: Extinction 	$45,000,000 	$50,648,680 	$146,162,921
1048 	12/25/2004 	Fat Albert 	$45,000,000 	$48,114,556 	$48,563,556
1049 	7/6/2012 	Savages 	$45,000,000 	$47,323,100 	$79,020,056
1050 	9/30/1994 	The River Wild 	$45,000,000 	$46,815,000 	$94,215,000
1051 	5/23/2014 	Blended 	$45,000,000 	$46,290,741 	$123,490,741
1052 	1/13/2006 	Last Holiday 	$45,000,000 	$38,399,961 	$43,343,247
1053 	3/3/2006 	16 Blocks 	$45,000,000 	$36,895,141 	$65,595,141
1054 	7/14/1995 	The Indian in the Cupboard 	$45,000,000 	$35,627,222 	$35,627,222
1055 	9/10/2004 	Cellular 	$45,000,000 	$32,003,620 	$61,475,984
1056 	7/28/2006 	The Ant Bully 	$45,000,000 	$28,142,536 	$49,610,899
1057 	7/18/2003 	Johnny English 	$45,000,000 	$28,013,509 	$163,126,676
1058 	12/14/1984 	Dune 	$45,000,000 	$27,447,472 	$27,447,472
1059 	7/31/2009 	Aliens in the Attic 	$45,000,000 	$25,200,412 	$59,551,283
1060 	9/14/2007 	Across the Universe 	$45,000,000 	$24,343,673 	$29,367,143
1061 	12/26/2008 	Revolutionary Road 	$45,000,000 	$22,911,480 	$79,564,960
1062 	8/29/2008 	Babylon A.D. 	$45,000,000 	$22,532,572 	$70,216,497
1063 	11/4/1994 	Frankenstein 	$45,000,000 	$22,006,296 	$112,006,296
1064 	10/4/1996 	The Glimmer Man 	$45,000,000 	$20,404,841 	$36,404,841
1065 	7/17/1996 	Multiplicity 	$45,000,000 	$20,133,326 	$20,133,326
1066 	1/19/2001 	The Pledge 	$45,000,000 	$19,719,930 	$29,406,132
1067 	12/16/2005 	The Producers: The Movie Musical 	$45,000,000 	$19,398,532 	$32,952,995
1068 	6/7/1996 	The Phantom 	$45,000,000 	$17,220,600 	$17,220,600
1069 	7/1/2005 	Rebound 	$45,000,000 	$16,809,014 	$17,492,014
1070 	2/19/2010 	The Ghost Writer 	$45,000,000 	$15,541,550 	$65,532,492
1071 	12/22/2000 	All the Pretty Horses 	$45,000,000 	$15,527,126 	$18,120,268
1072 	9/5/2008 	Bangkok Dangerous 	$45,000,000 	$15,298,134 	$46,598,134
1073 	12/20/1995 	Nixon 	$45,000,000 	$13,668,249 	$34,668,249
1074 	9/21/2012 	Dredd 	$45,000,000 	$13,414,714 	$41,467,606
1075 	1/30/1998 	Deep Rising 	$45,000,000 	$11,203,026 	$11,203,026
1076 	10/21/2011 	Johnny English Reborn 	$45,000,000 	$8,305,970 	$164,539,660
1077 	9/26/2008 	Miracle at St. Anna 	$45,000,000 	$7,916,887 	$9,110,458
1078 	4/5/2002 	Big Trouble 	$45,000,000 	$7,262,288 	$8,488,871
1079 	12/21/2006 	Man cheng jin dai huang jin jia 	$45,000,000 	$6,566,773 	$75,566,773
1080 	11/16/2007 	Love in the Time of Cholera 	$45,000,000 	$4,617,608 	$31,077,418
1081 	12/25/2002 	Pinocchio 	$45,000,000 	$3,681,811 	$31,681,811
1082 	1/31/1997 	Shadow Conspiracy 	$45,000,000 	$2,154,540 	$2,154,540
1083 	10/12/2012 	Argo 	$44,500,000 	$136,025,504 	$227,140,758
1084 	8/6/1993 	The Fugitive 	$44,000,000 	$183,875,760 	$353,715,317
1085 	5/22/1985 	Rambo: First Blood Part II 	$44,000,000 	$150,415,432 	$300,400,000
1086 	10/18/1996 	Sleepers 	$44,000,000 	$53,300,852 	$165,600,852
1087 	7/30/2010 	Charlie St. Cloud 	$44,000,000 	$31,206,263 	$48,478,084
1088 	2/2/1996 	The Juror 	$44,000,000 	$22,730,924 	$22,730,924
1089 	2/6/2014 	The Interview 	$44,000,000 	$6,105,175 	$11,305,175
1090 	11/19/1980 	Heaven's Gate 	$44,000,000 	$3,484,331 	$3,484,331
1091 	6/28/2013 	The Heat 	$43,000,000 	$159,581,587 	$229,727,774
1092 	12/19/2000 	Finding Forrester 	$43,000,000 	$51,768,624 	$80,013,624
1093 	4/14/2000 	28 Days 	$43,000,000 	$37,035,516 	$62,063,973
1094 	5/13/2005 	Danny the Dog 	$43,000,000 	$24,537,621 	$49,037,621
1095 	4/12/2002 	The Sweetest Thing 	$43,000,000 	$24,430,272 	$44,633,441
1096 	1/28/2011 	The Mechanic 	$42,500,000 	$29,121,498 	$76,347,393
1097 	6/30/1993 	The Firm 	$42,000,000 	$158,340,892 	$270,340,892
1098 	3/16/2012 	21 Jump Street 	$42,000,000 	$138,447,667 	$202,812,429
1099 	5/28/1999 	Notting Hill 	$42,000,000 	$116,089,680 	$363,728,228
1100 	6/21/2000 	Chicken Run 	$42,000,000 	$106,793,915 	$227,793,915
1101 	1/16/2004 	Along Came Polly 	$42,000,000 	$88,073,507 	$173,044,410
1102 	7/1/1992 	Boomerang 	$42,000,000 	$70,052,444 	$131,052,444
1103 	7/10/2009 	Brüno 	$42,000,000 	$60,054,530 	$130,788,243
1104 	6/12/1963 	Cleopatra 	$42,000,000 	$57,000,000 	$71,000,000
1105 	10/12/2012 	Here Comes the Boom 	$42,000,000 	$45,290,320 	$73,239,260
1106 	4/5/2002 	High Crimes 	$42,000,000 	$41,543,208 	$63,781,101
1107 	11/15/1996 	The Mirror Has Two Faces 	$42,000,000 	$41,267,469 	$41,267,469
1108 	3/11/2011 	Red Riding Hood 	$42,000,000 	$37,662,162 	$90,300,442
1109 	1/25/2002 	The Mothman Prophecies 	$42,000,000 	$35,228,696 	$56,438,555
1110 	7/14/1989 	License to Kill 	$42,000,000 	$34,667,015 	$156,167,015
1111 	1/27/2012 	One for the Money 	$42,000,000 	$26,414,528 	$36,197,222
1112 	3/9/2001 	15 Minutes 	$42,000,000 	$24,375,436 	$56,331,864
1113 	9/16/2005 	Lord of War 	$42,000,000 	$24,149,632 	$60,437,727
1114 	5/28/1993 	Super Mario Bros. 	$42,000,000 	$20,844,907 	$20,844,907
1115 	10/2/1992 	Hero 	$42,000,000 	$19,487,173 	$66,787,173
1116 	1/27/2012 	Man on a Ledge 	$42,000,000 	$18,620,000 	$45,688,337
1117 	12/3/2010 	The Warrior's Way 	$42,000,000 	$5,666,340 	$8,514,325
1118 	4/18/1997 	McHale's Navy 	$42,000,000 	$4,408,420 	$4,408,420
1119 	5/28/2010 	Micmacs 	$42,000,000 	$1,259,693 	$11,756,922
1120 	12/31/2006 	Les Bronzés 3: amis pour la vie 	$42,000,000 	$0 	$83,833,602
1121 	11/8/2002 	8 Mile 	$41,000,000 	$116,724,075 	$242,924,075
1122 	5/11/2001 	A Knight’s Tale 	$41,000,000 	$56,083,968 	$100,622,588
1123 	8/22/2003 	The Medallion 	$41,000,000 	$22,108,977 	$22,108,977
1124 	10/14/2011 	The Big Year 	$41,000,000 	$7,204,138 	$7,204,138
1125 	8/6/1999 	The Sixth Sense 	$40,000,000 	$293,506,304 	$672,806,304
1126 	7/15/2005 	The Wedding Crashers 	$40,000,000 	$209,218,368 	$283,218,368
1127 	6/11/2010 	The Karate Kid 	$40,000,000 	$176,591,618 	$351,774,938
1128 	6/19/2009 	The Proposal 	$40,000,000 	$163,958,032 	$314,709,718
1129 	12/13/2013 	American Hustle 	$40,000,000 	$150,117,808 	$248,961,827
1130 	12/25/2003 	Cheaper by the Dozen 	$40,000,000 	$138,614,544 	$189,714,544
1131 	2/13/2015 	Fifty Shades of Grey 	$40,000,000 	$130,148,310 	$410,648,310
1132 	7/25/2014 	Lucy 	$40,000,000 	$126,663,600 	$450,663,600
1133 	12/25/2013 	Lone Survivor 	$40,000,000 	$125,095,601 	$149,804,632
1134 	11/22/1989 	Back to the Future Part II 	$40,000,000 	$118,450,002 	$332,000,000
1135 	9/24/1999 	Double Jeopardy 	$40,000,000 	$116,735,232 	$177,835,232
1136 	7/25/2003 	Spy Kids 3-D: Game Over 	$40,000,000 	$111,760,632 	$167,851,996
1137 	7/24/1996 	A Time to Kill 	$40,000,000 	$108,766,007 	$152,266,007
1138 	7/1/1992 	A League of Their Own 	$40,000,000 	$107,533,925 	$132,440,066
1139 	10/1/2010 	The Social Network 	$40,000,000 	$96,962,696 	$224,922,137
1140 	4/12/2013 	42 	$40,000,000 	$95,020,216 	$97,470,704
1141 	8/7/2009 	Julie & Julia 	$40,000,000 	$94,125,426 	$126,646,119
1142 	2/6/2009 	He's Just Not That Into You 	$40,000,000 	$93,953,656 	$181,053,660
1143 	4/14/2006 	Scary Movie 4 	$40,000,000 	$90,710,624 	$178,710,624
1144 	2/4/2000 	Scream 3 	$40,000,000 	$89,138,080 	$161,838,080
1145 	5/24/1990 	Back to the Future Part III 	$40,000,000 	$87,666,629 	$243,700,000
1146 	11/14/2014 	Dumb and Dumber To 	$40,000,000 	$86,208,010 	$141,208,010
1147 	4/25/2014 	The Other Woman 	$40,000,000 	$83,911,193 	$195,111,193
1148 	11/13/1992 	Bram Stoker's Dracula 	$40,000,000 	$82,522,790 	$215,862,692
1149 	2/17/2006 	Eight Below 	$40,000,000 	$81,612,568 	$120,612,568
1150 	12/24/1999 	The Talented Mr. Ripley 	$40,000,000 	$81,292,136 	$128,792,136
1151 	9/25/1992 	The Last of the Mohicans 	$40,000,000 	$75,505,856 	$75,505,856
1152 	10/29/2004 	Ray 	$40,000,000 	$75,305,995 	$124,823,094
1153 	4/1/2005 	Sin City 	$40,000,000 	$74,103,824 	$158,753,824
1154 	2/22/2008 	Vantage Point 	$40,000,000 	$72,266,306 	$150,886,329
1155 	3/20/2009 	I Love You, Man 	$40,000,000 	$71,440,011 	$91,729,503
1156 	11/9/2001 	Shallow Hal 	$40,000,000 	$70,836,296 	$70,836,296
1157 	12/20/1991 	JFK 	$40,000,000 	$70,405,498 	$205,400,000
1158 	1/27/2006 	Big Momma's House 2 	$40,000,000 	$70,165,972 	$137,047,376
1159 	3/2/2001 	The Mexican 	$40,000,000 	$66,808,616 	$145,238,251
1160 	8/28/2009 	The Final Destination 	$40,000,000 	$66,477,700 	$187,384,627
1161 	4/17/2009 	17 Again 	$40,000,000 	$64,167,069 	$139,474,906
1162 	2/18/2011 	Unknown 	$40,000,000 	$63,686,397 	$136,123,083
1163 	6/4/2010 	Get Him to the Greek 	$40,000,000 	$61,153,526 	$91,455,875
1164 	11/30/2001 	Behind Enemy Lines 	$40,000,000 	$58,855,732 	$58,855,732
1165 	3/18/2011 	The Lincoln Lawyer 	$40,000,000 	$58,009,200 	$87,145,086
1166 	10/15/2004 	Shall We Dance? 	$40,000,000 	$57,887,882 	$118,097,882
1167 	8/25/2006 	Invincible 	$40,000,000 	$57,806,952 	$58,501,127
1168 	2/15/2013 	Escape From Planet Earth 	$40,000,000 	$57,012,977 	$74,156,610
1169 	7/10/1998 	Small Soldiers 	$40,000,000 	$55,143,823 	$71,743,823
1170 	7/31/1997 	Spawn 	$40,000,000 	$54,979,992 	$87,949,859
1171 	11/26/2014 	Horrible Bosses 2 	$40,000,000 	$54,445,357 	$105,945,357
1172 	1/25/2002 	The Count of Monte Cristo 	$40,000,000 	$54,228,104 	$75,389,090
1173 	10/20/2006 	The Prestige 	$40,000,000 	$53,089,892 	$104,407,367
1174 	6/16/2006 	The Lake House 	$40,000,000 	$52,330,112 	$114,830,112
1175 	7/9/2010 	Predators 	$40,000,000 	$52,000,688 	$127,234,389
1176 	8/15/2012 	The Odd Life of Timothy Green 	$40,000,000 	$51,853,450 	$52,685,425
1177 	7/31/1987 	The Living Daylights 	$40,000,000 	$51,185,000 	$191,200,000
1178 	12/8/2006 	Apocalypto 	$40,000,000 	$50,866,636 	$121,032,273
1179 	2/14/2007 	Music and Lyrics 	$40,000,000 	$50,572,589 	$145,021,477
1180 	6/18/1986 	Legal Eagles 	$40,000,000 	$49,851,591 	$49,851,591
1181 	3/12/2004 	Secret Window 	$40,000,000 	$47,958,032 	$92,111,552
1182 	8/12/2005 	The Skeleton Key 	$40,000,000 	$47,907,715 	$92,256,918
1183 	6/20/2014 	Jersey Boys 	$40,000,000 	$47,047,013 	$59,447,013
1184 	5/2/2008 	Made of Honor 	$40,000,000 	$46,012,736 	$106,548,740
1185 	11/21/1997 	The Rainmaker 	$40,000,000 	$45,916,769 	$45,916,769
1186 	2/7/1992 	Medicine Man 	$40,000,000 	$44,948,240 	$44,948,240
1187 	12/12/1997 	Amistad 	$40,000,000 	$44,229,441 	$58,267,000
1188 	5/30/2014 	A Million Ways to Die in The West 	$40,000,000 	$43,139,300 	$87,099,862
1189 	8/12/2011 	Final Destination 5 	$40,000,000 	$42,587,644 	$157,887,644
1190 	4/8/2005 	Fever Pitch 	$40,000,000 	$42,071,069 	$50,071,069
1191 	7/18/2014 	Sex Tape 	$40,000,000 	$38,543,473 	$126,069,509
1192 	4/15/2011 	Scream 4 	$40,000,000 	$38,180,928 	$95,989,590
