title;genre;distributor;year
Cold Creek Manor;Thriller-or-Suspense;Walt Disney;2003
The Life of David Gale;Thriller-or-Suspense;Universal;2003
Narc;Thriller-or-Suspense;Paramount Pictures;2002
Swimming Pool;Thriller-or-Suspense;Focus Features;2003
Dark Blue;Thriller-or-Suspense;MGM;2003
In the Cut;Thriller-or-Suspense;Sony Pictures;2003
à la folie... pas du tout;Thriller-or-Suspense;Samuel Goldwyn Films;2003
Le cercle rouge;Thriller-or-Suspense;;2003
The Statement;Thriller-or-Suspense;Sony Pictures;2003
The Hero: Love Story of a Spy;Thriller-or-Suspense;;2003
Demonlover;Thriller-or-Suspense;Palm Pictures;2003
Signs;Thriller-or-Suspense;Walt Disney;2002
No Good Deed;Thriller-or-Suspense;Mac Releasing;2003
The Bank;Thriller-or-Suspense;Cinema Guild;2002
Night of Destiny;Thriller-or-Suspense;ArtMattan Films;2003
The Bourne Supremacy;Thriller-or-Suspense;Universal;2004
The Village;Thriller-or-Suspense;Walt Disney;2004
Man on Fire;Thriller-or-Suspense;20th Century Fox;2004
Ladder 49;Thriller-or-Suspense;Walt Disney;2004
The Forgotten;Thriller-or-Suspense;Sony Pictures;2004
The Manchurian Candidate;Thriller-or-Suspense;Paramount Pictures;2004
The Butterfly Effect;Thriller-or-Suspense;New Line;2004
Secret Window;Thriller-or-Suspense;Sony Pictures;2004
Taking Lives;Thriller-or-Suspense;Warner Bros.;2004
Cellular;Thriller-or-Suspense;New Line;2004
Open Water;Thriller-or-Suspense;Lionsgate;2004
Twisted;Thriller-or-Suspense;Paramount Pictures;2004
Paparazzi;Thriller-or-Suspense;20th Century Fox;2004
Paycheck;Thriller-or-Suspense;Paramount Pictures;2003
Godsend;Thriller-or-Suspense;Lionsgate;2004
Wicker Park;Thriller-or-Suspense;MGM;2004
Spartan;Thriller-or-Suspense;Warner Bros.;2004
The Machinist;Thriller-or-Suspense;Paramount Vantage;2004
The Final Cut;Thriller-or-Suspense;Lionsgate;2004
The Statement;Thriller-or-Suspense;Sony Pictures;2003
Runaway Jury;Thriller-or-Suspense;20th Century Fox;2003
I'll Sleep When I'm Dead;Thriller-or-Suspense;Paramount Vantage;2004
Enduring Love;Thriller-or-Suspense;Paramount Vantage;2004
Cavale;Thriller-or-Suspense;Magnolia Pictures;2004
Close Your Eyes;Thriller-or-Suspense;;2004
Shade;Thriller-or-Suspense;;2004
The Burial Society;Thriller-or-Suspense;Regent Releasing;2004
Out of Time;Thriller-or-Suspense;MGM;2003
Reeseville;Thriller-or-Suspense;Innovation Film Group;2004
La mentale;Thriller-or-Suspense;;2004
Who Killed Bambi?;Thriller-or-Suspense;Strand;2004
Demonlover;Thriller-or-Suspense;Palm Pictures;2003
Flightplan;Thriller-or-Suspense;Walt Disney;2005
Four Brothers;Thriller-or-Suspense;Paramount Pictures;2005
Sin City;Thriller-or-Suspense;Miramax/Dimension;2005
The Interpreter;Thriller-or-Suspense;Universal;2005
Red Eye;Thriller-or-Suspense;Dreamworks SKG;2005
Syriana;Thriller-or-Suspense;Warner Bros.;2005
Derailed;Thriller-or-Suspense;Weinstein Co.;2005
The Constant Gardener;Thriller-or-Suspense;Focus Features;2005
A History of Violence;Thriller-or-Suspense;New Line;2005
Munich;Thriller-or-Suspense;Universal;2005
Cry Wolf;Thriller-or-Suspense;Focus/Rogue Pictures;2005
The Jacket;Thriller-or-Suspense;Warner Independent;2005
Mindhunters;Thriller-or-Suspense;Miramax/Dimension;2005
Stay;Thriller-or-Suspense;20th Century Fox;2005
Layer Cake;Thriller-or-Suspense;Sony Pictures Classics;2005
Oldboy;Thriller-or-Suspense;Tartan Films;2005
Ladder 49;Thriller-or-Suspense;Walt Disney;2004
Match Point;Thriller-or-Suspense;Dreamworks SKG;2005
Asylum;Thriller-or-Suspense;Paramount Vantage;2005
Dot the I;Thriller-or-Suspense;Freestyle Releasing;2005
Kontroll;Thriller-or-Suspense;ThinkFilm;2005
The Machinist;Thriller-or-Suspense;Paramount Vantage;2004
The Other Side of the Street;Thriller-or-Suspense;Strand;2005
Chocolate: Deep Dark Secrets;Thriller-or-Suspense;Eros Entertainment;2005
Boksuneun naui geot;Thriller-or-Suspense;Tartan Films;2005
Classe Tous Risques;Thriller-or-Suspense;Rialto Pictures;1963
Fascination;Thriller-or-Suspense;MGM;2005
Salinsui Chooeok;Thriller-or-Suspense;Palm Pictures;2005
Enduring Love;Thriller-or-Suspense;Paramount Vantage;2004
Who Killed Bambi?;Thriller-or-Suspense;Strand;2004
Kalyug;Thriller-or-Suspense;Kria;2005
The Da Vinci Code;Thriller-or-Suspense;Sony Pictures;2006
Inside Man;Thriller-or-Suspense;Universal;2006
Déjà Vu;Thriller-or-Suspense;Walt Disney;2006
The Prestige;Thriller-or-Suspense;Walt Disney;2006
Firewall;Thriller-or-Suspense;Warner Bros.;2006
Lady in the Water;Thriller-or-Suspense;Warner Bros.;2006
The Sentinel;Thriller-or-Suspense;20th Century Fox;2006
Snakes on a Plane;Thriller-or-Suspense;New Line;2006
Munich;Thriller-or-Suspense;Universal;2005
The Descent;Thriller-or-Suspense;Lionsgate;2006
The Black Dahlia;Thriller-or-Suspense;Universal;2006
Lucky Number Slevin;Thriller-or-Suspense;MGM;2006
Match Point;Thriller-or-Suspense;Dreamworks SKG;2005
Syriana;Thriller-or-Suspense;Warner Bros.;2005
The Night Listener;Thriller-or-Suspense;Miramax;2006
The Return;Thriller-or-Suspense;Focus Features;2006
Basic Instinct 2;Thriller-or-Suspense;Sony Pictures;2006
A Scanner Darkly;Thriller-or-Suspense;Warner Bros.;2006
Catch a Fire;Thriller-or-Suspense;Focus Features;2006
Children of Men;Thriller-or-Suspense;Universal;2006
Flightplan;Thriller-or-Suspense;Walt Disney;2005
Derailed;Thriller-or-Suspense;Weinstein Co.;2005
A History of Violence;Thriller-or-Suspense;New Line;2005
Chinjeolhan geumjassi;Thriller-or-Suspense;Tartan Films;2006
The Fallen Idol;Thriller-or-Suspense;Rialto Pictures;1949
13 Tzameti;Thriller-or-Suspense;Palm Pictures;2006
La Demoiselle d'honneur;Thriller-or-Suspense;First Run Features;2006
Cavite;Thriller-or-Suspense;Truly Indie;2006
Classe Tous Risques;Thriller-or-Suspense;Rialto Pictures;1963
Moonlight;Thriller-or-Suspense;Indican Pictures;2006
The Zodiac;Thriller-or-Suspense;ThinkFilm;2006
El Aura;Thriller-or-Suspense;IFC Films;2006
Hate Crime;Thriller-or-Suspense;Pasidg Productions;2005
Unknown;Thriller-or-Suspense;IFC Films;2006
The Dead Girl;Thriller-or-Suspense;First Look;2006
Boksuneun naui geot;Thriller-or-Suspense;Tartan Films;2005
Zyzzyx Rd.;Thriller-or-Suspense;Regent Releasing;2006
The Bourne Ultimatum;Thriller-or-Suspense;Universal;2007
Disturbia;Thriller-or-Suspense;Paramount Pictures;2007
Premonition;Thriller-or-Suspense;Sony Pictures;2007
Shooter;Thriller-or-Suspense;Paramount Pictures;2007
Fracture;Thriller-or-Suspense;New Line;2007
The Brave One;Thriller-or-Suspense;Warner Bros.;2007
The Number 23;Thriller-or-Suspense;New Line;2007
Children of Men;Thriller-or-Suspense;Universal;2006
Breach;Thriller-or-Suspense;Universal;2007
Mr. Brooks;Thriller-or-Suspense;MGM;2007
Hannibal Rising;Thriller-or-Suspense;Weinstein Co.;2007
Nancy Drew;Thriller-or-Suspense;Warner Bros.;2007
Perfect Stranger;Thriller-or-Suspense;Sony Pictures;2007
The Invisible;Thriller-or-Suspense;Walt Disney;2007
Vacancy;Thriller-or-Suspense;Sony Pictures;2007
Eastern Promises;Thriller-or-Suspense;Focus Features;2007
The Hitcher;Thriller-or-Suspense;Focus Features;2007
The Invasion;Thriller-or-Suspense;Warner Bros.;2007
Awake;Thriller-or-Suspense;Weinstein Co.;2007
Rendition;Thriller-or-Suspense;New Line;2007
I Know Who Killed Me;Thriller-or-Suspense;Sony Pictures;2007
Zwartboek;Thriller-or-Suspense;Sony Pictures Classics;2007
Sunshine;Thriller-or-Suspense;Fox Searchlight;2007
Illegal Tender;Thriller-or-Suspense;Universal;2007
Ma Fille, Mon Ange;Thriller-or-Suspense;Alliance Atlantis;2007
Déjà Vu;Thriller-or-Suspense;Walt Disney;2006
Slow Burn;Thriller-or-Suspense;Lionsgate;2007
Blade Runner;Thriller-or-Suspense;Warner Bros.;1982
Thr3e;Thriller-or-Suspense;The Bigger Picture;2007
Paprika;Thriller-or-Suspense;Sony Pictures Classics;2007
Sarah Landon and the Paranormal Hour;Thriller-or-Suspense;Freestyle Releasing;2007
The Prestige;Thriller-or-Suspense;Walt Disney;2006
Joshua;Thriller-or-Suspense;Fox Searchlight;2007
Sleuth;Thriller-or-Suspense;Sony Pictures Classics;2007
Youth Without Youth;Thriller-or-Suspense;Sony Pictures Classics;2007
Fay Grim;Thriller-or-Suspense;Magnolia Pictures;2007
