title;genre;distributor;year
Ghost in the Shell 2: Innocence;Action;DreamWorks/Go Fish;2004
The Matrix Revolutions;Action;Warner Bros.;2003
Zatoichi;Action;Miramax;2004
Kill Bill: Volume 1;Action;Miramax;2003
Silmido;Action;Cinema Service;2004
Dhoom;Action;Yash Raj Films;2004
Warriors of Heaven and Earth;Action;Sony Pictures;2004
Underworld;Action;Sony Pictures;2003
Close Call;Action;Prime Media Pictures;2004
Sky Blue;Action;Maxmedia/Endgame;2004
Once Upon a Time in the Hood;Action;Maverick Entertainment;2004
War of the Worlds;Action;Paramount Pictures;2005
Batman Begins;Action;Warner Bros.;2005
Mr. and Mrs. Smith;Action;20th Century Fox;2005
Fantastic Four;Action;20th Century Fox;2005
Constantine;Action;Warner Bros.;2005
Kingdom of Heaven;Action;20th Century Fox;2005
The Transporter 2;Action;20th Century Fox;2005
The Island;Action;Dreamworks SKG;2005
Hostage;Action;Miramax;2005
Stealth;Action;Sony Pictures;2005
XXX: State of the Union;Action;Sony Pictures;2005
Serenity;Action;Universal;2005
Aeon Flux;Action;Paramount Pictures;2005
Danny the Dog;Action;Focus/Rogue Pictures;2005
Elektra;Action;20th Century Fox;2005
Assault On Precinct 13;Action;Focus/Rogue Pictures;2005
Kung Fu Hustle;Action;Sony Pictures Classics;2005
Domino;Action;New Line;2005
The Great Raid;Action;Miramax;2005
House of Flying Daggers;Action;Sony Pictures Classics;2004
Ong-Bak;Action;Magnolia Pictures;2005
Blade: Trinity;Action;New Line;2004
Supercross;Action;20th Century Fox;2005
A Sound of Thunder;Action;Warner Bros.;2005
State Property 2;Action;Lionsgate;2005
Steamboy;Action;Sony Pictures;2005
De Zaak Alzheimer;Action;Sony Pictures Classics;2005
Secuestro Express;Action;Miramax;2005
Alexander;Action;Warner Bros.;2004
Taxi;Action;20th Century Fox;2004
After the Sunset;Action;New Line;2004
Ek Ajnabee;Action;Eros Entertainment;2005
Matando Cabos;Action;Televisa Cine;2005
Appurushîdo;Action;Geneon Entertainment;2005
D.E.B.S.;Action;Samuel Goldwyn Films;2005
Sky Blue;Action;Maxmedia/Endgame;2004
The Warrior;Action;Miramax;2005
Undead;Action;Lionsgate;2005
Streets of Legend;Action;Lionsgate;2005
X-Men: The Last Stand;Action;20th Century Fox;2006
Casino Royale;Action;Sony Pictures;2006
Mission: Impossible III;Action;Paramount Pictures;2006
V for Vendetta;Action;Warner Bros.;2006
Miami Vice;Action;Universal;2006
The Fast and the Furious: Tokyo Drift;Action;Universal;2006
Underworld: Evolution;Action;Sony Pictures;2006
The Guardian;Action;Walt Disney;2006
Apocalypto;Action;Walt Disney;2006
16 Blocks;Action;Warner Bros.;2006
Blood Diamond;Action;Warner Bros.;2006
Crank;Action;Lionsgate;2006
The Marine;Action;20th Century Fox;2006
Ultraviolet;Action;Sony Pictures;2006
Tom yum goong;Action;Weinstein Co.;2006
Running Scared;Action;New Line;2006
Dhoom 2;Action;Yash Raj Films;2006
BloodRayne;Action;Romar;2006
Don;Action;UTV Communications;2006
Man cheng jin dai huang jin jia;Action;Sony Pictures Classics;2006
Nochnoy dozor;Action;Fox Searchlight;2006
Krrish;Action;AdLab Films;2006
Banlieue 13;Action;Magnolia Pictures;2006
Aeon Flux;Action;Paramount Pictures;2005
Wu ji;Action;Warner Independent;2006
Alex Rider: Operation Stormbreaker;Action;Weinstein Co.;2006
