title;genre;distributor;year
The Prince & Me;Romantic-Comedy;Paramount Pictures;2004
Little Black Book;Romantic-Comedy;Sony Pictures;2004
Laws of Attraction;Romantic-Comedy;New Line;2004
Win a Date with Tad Hamilton!;Romantic-Comedy;Dreamworks SKG;2004
Wimbledon;Romantic-Comedy;Universal;2004
The Girl Next Door;Romantic-Comedy;20th Century Fox;2004
Breakin' All the Rules;Romantic-Comedy;20th Century Fox;2004
Chasing Liberty;Romantic-Comedy;Warner Bros.;2004
First Daughter;Romantic-Comedy;20th Century Fox;2004
Love Actually;Romantic-Comedy;Universal;2003
Love Don't Cost a Thing;Romantic-Comedy;Warner Bros.;2003
Mujhse Shaadi Karogi;Romantic-Comedy;Zee Studios;2004
Hum Tum;Romantic-Comedy;Yash Raj Films;2004
Touch of Pink;Romantic-Comedy;Sony Pictures Classics;2004
Love Me If You Dare;Romantic-Comedy;Paramount Vantage;2004
Nez Rouge;Romantic-Comedy;Christal Films;2003
Kyun! Ho Gaya Na...;Romantic-Comedy;;2004
Flavors;Romantic-Comedy;Net Effect;2004
Seeing Other People;Romantic-Comedy;Lantern Lane Entertainment;2004
Intolerable Cruelty;Romantic-Comedy;Universal;2003
The Bread, My Sweet;Romantic-Comedy;Panorama Entertainment;2002
Cowards Bend the Knee;Romantic-Comedy;Zeitgeist;2004
Easy;Romantic-Comedy;Magic Lamp;2004
Perfect Opposites;Romantic-Comedy;;2004
Swing;Romantic-Comedy;RMH Media/Dominion Entertainment;2004
Lan se da men;Romantic-Comedy;Strand;2003
Hitch;Romantic-Comedy;Sony Pictures;2005
Are We There Yet?;Romantic-Comedy;Sony Pictures;2005
Just Like Heaven;Romantic-Comedy;Dreamworks SKG;2005
Must Love Dogs;Romantic-Comedy;Warner Bros.;2005
Fever Pitch;Romantic-Comedy;20th Century Fox;2005
The Wedding Date;Romantic-Comedy;Universal;2005
Just Friends;Romantic-Comedy;New Line;2005
Prime;Romantic-Comedy;Universal;2005
A Lot Like Love;Romantic-Comedy;Walt Disney;2005
The Perfect Man;Romantic-Comedy;Universal;2005
Broken Flowers;Romantic-Comedy;Focus Features;2005
Undiscovered;Romantic-Comedy;Lionsgate;2005
Shall We Dance?;Romantic-Comedy;Miramax;2004
Little Manhattan;Romantic-Comedy;20th Century Fox;2005
Deewane Huye Paagal;Romantic-Comedy;UTV Communications;2005
Bridget Jones: The Edge Of Reason;Romantic-Comedy;Universal;2004
Side Effects;Romantic-Comedy;Sky Island;2005
Girl Play;Romantic-Comedy;Wolfe Releasing;2005
The Break-Up;Romantic-Comedy;Universal;2006
Failure to Launch;Romantic-Comedy;Paramount Pictures;2006
The Holiday;Romantic-Comedy;Sony Pictures;2006
John Tucker Must Die;Romantic-Comedy;20th Century Fox;2006
She's the Man;Romantic-Comedy;Paramount Pictures;2006
My Super Ex-Girlfriend;Romantic-Comedy;20th Century Fox;2006
Just My Luck;Romantic-Comedy;20th Century Fox;2006
The Last Kiss;Romantic-Comedy;Paramount Pictures;2006
Something New;Romantic-Comedy;Focus Features;2006
Scoop;Romantic-Comedy;Focus/Rogue Pictures;2006
Phat Girlz;Romantic-Comedy;Fox Searchlight;2006
Boynton Beach Club;Romantic-Comedy;Wingate Distribution;2006
Just Friends;Romantic-Comedy;New Line;2005
Imagine Me & You;Romantic-Comedy;Fox Searchlight;2006
The Oh in Ohio;Romantic-Comedy;Cyan;2006
Adam & Steve;Romantic-Comedy;TLA Releasing;2006
Seres Queridos;Romantic-Comedy;Magnolia Pictures;2006
Confetti;Romantic-Comedy;Fox Searchlight;2006
Pyar Ke Side Effects;Romantic-Comedy;Eros Entertainment;2006
Quand la mer monte...;Romantic-Comedy;New Yorker;2006
April's Shower;Romantic-Comedy;Regent Releasing;2006
Sleeping Dogs Lie;Romantic-Comedy;IDP/Goldwyn/Roadside;2006
My First Wedding;Romantic-Comedy;Indican Pictures;2006
Zerophilia;Romantic-Comedy;Microangelo Entertainment;2006
Knocked Up;Romantic-Comedy;Universal;2007
Enchanted;Romantic-Comedy;Walt Disney;2007
Music and Lyrics;Romantic-Comedy;Warner Bros.;2007
Dan in Real Life;Romantic-Comedy;Walt Disney;2007
License to Wed;Romantic-Comedy;Warner Bros.;2007
No Reservations;Romantic-Comedy;Warner Bros.;2007
Because I Said So;Romantic-Comedy;Universal;2007
The Heartbreak Kid;Romantic-Comedy;Paramount Pictures;2007
Good Luck Chuck;Romantic-Comedy;Lionsgate;2007
Daddy's Little Girls;Romantic-Comedy;Lionsgate;2007
P.S. I Love You;Romantic-Comedy;Warner Bros.;2007
Waitress;Romantic-Comedy;Fox Searchlight;2007
Catch and Release;Romantic-Comedy;Sony Pictures;2007
The Holiday;Romantic-Comedy;Sony Pictures;2006
I Think I Love My Wife;Romantic-Comedy;Fox Searchlight;2007
Sydney White;Romantic-Comedy;Universal;2007
The Perfect Holiday;Romantic-Comedy;Yari Film Group Releasing;2007
The Ex;Romantic-Comedy;MGM;2007
Salaam-e-Ishq (A Tribute to Love);Romantic-Comedy;Eros Entertainment;2007
Namastey London;Romantic-Comedy;Eros Entertainment;2007
Partner;Romantic-Comedy;Eros Entertainment;2007
Broken English;Romantic-Comedy;Magnolia Pictures;2007
Cheeni Kum;Romantic-Comedy;Eros Entertainment;2007
Angel-A;Romantic-Comedy;Sony Pictures Classics;2007
Americanizing Shelley;Romantic-Comedy;Rocky Mountain Pictures;2007
David & Layla;Romantic-Comedy;Newroz Films;2007
Dedication;Romantic-Comedy;Weinstein/Dimension;2007
Puccini for Beginners;Romantic-Comedy;Strand;2007
Blind Dating;Romantic-Comedy;Samuel Goldwyn Films;2007
The Treatment;Romantic-Comedy;New Yorker;2007
Gray Matters;Romantic-Comedy;Yari Film Group Releasing;2007
