title;genre;distributor;year
The Lord of the Rings: The Return of the King;Adventure;New Line;2003
Spy Kids 3-D: Game Over;Adventure;Miramax/Dimension;2003
The Italian Job;Adventure;Paramount Pictures;2003
Dr. Seuss' The Cat in the Hat;Adventure;Universal;2003
Brother Bear;Adventure;Walt Disney;2003
Master and Commander: The Far Side of the World;Adventure;20th Century Fox;2003
The Lord of the Rings: The Two Towers;Adventure;New Line;2002
The Haunted Mansion;Adventure;Walt Disney;2003
Holes;Adventure;Walt Disney;2003
Kangaroo Jack;Adventure;Warner Bros.;2003
The League of Extraordinary Gentlemen;Adventure;20th Century Fox;2003
Lara Croft: Tomb Raider: The Cradle of Life;Adventure;Paramount Pictures;2003
The Jungle Book 2;Adventure;Walt Disney;2003
Agent Cody Banks;Adventure;MGM;2003
The Lizzie McGuire Movie;Adventure;Walt Disney;2003
Rugrats Go Wild;Adventure;Paramount Pictures;2003
Good Boy!;Adventure;MGM;2003
Peter Pan;Adventure;Universal;2003
Johnny English;Adventure;Universal;2003
Sinbad: Legend of the Seven Seas;Adventure;Dreamworks SKG;2003
Piglet's Big Movie;Adventure;Walt Disney;2003
Looney Tunes: Back in Action;Adventure;Warner Bros.;2003
Timeline;Adventure;Paramount Pictures;2003
Harry Potter and the Chamber of Secrets;Adventure;Warner Bros.;2002
The Lion King;Adventure;Walt Disney;1994
The Wild Thornberrys Movie;Adventure;Paramount Pictures;2002
Grind;Adventure;Warner Bros.;2003
Sen to Chihiro no Kamikakushi;Adventure;Walt Disney;2002
T-Rex: Back to the Cretaceous;Adventure;IMAX Films;1998
Star Trek: Nemesis;Adventure;Paramount Pictures;2002
Haunted Castle;Adventure;nWave Pictures;2001
Young Black Stallion;Adventure;Walt Disney;2003
Treasure Planet;Adventure;Walt Disney;2002
The Legend of Johnny Lingo;Adventure;Innovation Film Group;2003
The Santa Clause 2;Adventure;Walt Disney;2002
Santa vs. The Snowman;Adventure;IMAX Films;2002
Pokemon Heroes;Adventure;Miramax;2003
Help! I'm a Fish;Adventure;;2003
The Lord of the Rings: The Fellowship of the Ring;Adventure;New Line;2001
Pinocchio;Adventure;Miramax;2002
Spy Kids 2: The Island of Lost Dreams;Adventure;Miramax/Dimension;2002
Gerry;Adventure;ThinkFilm;2003
Jonah: A VeggieTales Movie;Adventure;Artisan;2002
Alien Adventure;Adventure;nWave Pictures;2000
Across The Sea of Time;Adventure;Sony Pictures Classics;1995
Shrek 2;Adventure;Dreamworks SKG;2004
Spider-Man 2;Adventure;Sony Pictures;2004
The Incredibles;Adventure;Walt Disney;2004
Harry Potter and the Prisoner of Azkaban;Adventure;Warner Bros.;2004
The Day After Tomorrow;Adventure;20th Century Fox;2004
Shark Tale;Adventure;Dreamworks SKG;2004
National Treasure;Adventure;Walt Disney;2004
The Polar Express;Adventure;Warner Bros.;2004
Ocean's Twelve;Adventure;Warner Bros.;2004
Lemony Snicket's A Series of Unfortunate Events;Adventure;Paramount Pictures;2004
The Lord of the Rings: The Return of the King;Adventure;New Line;2003
Scooby-Doo 2: Monsters Unleashed;Adventure;Warner Bros.;2004
SpongeBob SquarePants: The Movie;Adventure;Paramount Pictures;2004
Garfield: The Movie;Adventure;20th Century Fox;2004
The Chronicles of Riddick;Adventure;Universal;2004
King Arthur;Adventure;Walt Disney;2004
Home on the Range;Adventure;Walt Disney;2004
Sky Captain and the World of Tomorrow;Adventure;Paramount Pictures;2004
Around the World in 80 Days;Adventure;Walt Disney;2004
Agent Cody Banks 2: Destination London;Adventure;MGM;2004
Yu-Gi-Oh;Adventure;Warner Bros.;2004
Two Brothers;Adventure;Universal;2004
Flight of the Phoenix;Adventure;20th Century Fox;2004
Catch That Kid;Adventure;20th Century Fox;2004
Peter Pan;Adventure;Universal;2003
Master and Commander: The Far Side of the World;Adventure;20th Century Fox;2003
Sleepover;Adventure;MGM;2004
Superbabies: Baby Geniuses 2;Adventure;Sony Pictures;2004
Thunderbirds;Adventure;Universal;2004
Teacher's Pet: The Movie;Adventure;Walt Disney;2004
The Haunted Mansion;Adventure;Walt Disney;2003
Young Black Stallion;Adventure;Walt Disney;2003
Clifford's Really Big Movie;Adventure;Warner Bros.;2004
T-Rex: Back to the Cretaceous;Adventure;IMAX Films;1998
Santa vs. The Snowman;Adventure;IMAX Films;2002
Haunted Castle;Adventure;nWave Pictures;2001
Brother Bear;Adventure;Walt Disney;2003
Dr. Seuss' The Cat in the Hat;Adventure;Universal;2003
Lakshya;Adventure;UTV Communications;2004
The Legend of Johnny Lingo;Adventure;Innovation Film Group;2003
Alien Adventure;Adventure;nWave Pictures;2000
Timeline;Adventure;Paramount Pictures;2003
Looney Tunes: Back in Action;Adventure;Warner Bros.;2003
The Snow Walker;Adventure;;2004
Tokyo Godfathers;Adventure;Fathom Events;2004
Spy Kids 3-D: Game Over;Adventure;Miramax/Dimension;2003
Kaena: La prophétie;Adventure;IDP Distribution;2004
Across The Sea of Time;Adventure;Sony Pictures Classics;1995
Good Boy!;Adventure;MGM;2003
Star Wars Ep. III: Revenge of the Sith;Adventure;20th Century Fox;2005
Harry Potter and the Goblet of Fire;Adventure;Warner Bros.;2005
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Adventure;Walt Disney;2005
Charlie and the Chocolate Factory;Adventure;Warner Bros.;2005
Madagascar;Adventure;Dreamworks SKG;2005
King Kong;Adventure;Universal;2005
Chicken Little;Adventure;Walt Disney;2005
Robots;Adventure;Walt Disney;2005
Sahara;Adventure;Paramount Pictures;2005
Herbie: Fully Loaded;Adventure;Walt Disney;2005
Sky High;Adventure;Walt Disney;2005
Wallace & Gromit: The Curse of the Were-Rabbit;Adventure;Dreamworks SKG;2005
Corpse Bride;Adventure;Warner Bros.;2005
The Hitchhiker's Guide to the Galaxy;Adventure;Walt Disney;2005
Cheaper by the Dozen 2;Adventure;20th Century Fox;2005
Racing Stripes;Adventure;Warner Bros.;2005
The Legend of Zorro;Adventure;Sony Pictures;2005
The Adventures of Sharkboy and Lavagirl in 3-D;Adventure;Miramax/Dimension;2005
The Brothers Grimm;Adventure;Miramax/Dimension;2005
Zathura;Adventure;Sony Pictures;2005
Lemony Snicket's A Series of Unfortunate Events;Adventure;Paramount Pictures;2004
Valiant;Adventure;Walt Disney;2005
Into the Blue;Adventure;Sony Pictures;2005
Ocean's Twelve;Adventure;Warner Bros.;2004
National Treasure;Adventure;Walt Disney;2004
Pooh's Heffalump Movie;Adventure;Walt Disney;2005
The Polar Express;Adventure;Warner Bros.;2004
Son of the Mask;Adventure;New Line;2005
The Incredibles;Adventure;Walt Disney;2004
Hauru no ugoku shiro;Adventure;Walt Disney;2005
Flight of the Phoenix;Adventure;20th Century Fox;2004
SpongeBob SquarePants: The Movie;Adventure;Paramount Pictures;2004
T-Rex: Back to the Cretaceous;Adventure;IMAX Films;1998
Haunted Castle;Adventure;nWave Pictures;2001
Bunty Aur Babli;Adventure;Yash Raj Films;2005
Duma;Adventure;Warner Bros.;2005
