title;genre;distributor;year
Wandafuru raifu;Drama;Artistic License;1999
Diary of a Chambermaid;Drama;;2000
Chunhyang;Drama;Lot 47 Films;2000
The Autumn Heart;Drama;Arrow Releasing;2000
Family Tree;Drama;;2000
All About Eve;Drama;20th Century Fox;1950
Claire Dolan;Drama;New Yorker;2000
Harem Suare;Drama;;2000
The Visit;Drama;;2000
Babymother;Drama;Fine Line;2000
Followers;Drama;;2000
Steam: The Turkish Bath;Drama;Strand;1998
Le Chal Apne Sang;Drama;Eros Entertainment;2000
The Trial of Old Drum;Drama;;2000
Eastside;Drama;;2000
Traffic;Drama;USA Films;2000
Save the Last Dance;Drama;Paramount Pictures;2001
Artificial Intelligence: AI;Drama;Warner Bros.;2001
Chocolat;Drama;Miramax;2000
Blow;Drama;New Line;2001
Enemy at the Gates;Drama;Paramount Pictures;2001
K-PAX;Drama;Universal;2001
Ali;Drama;Sony Pictures;2001
Finding Forrester;Drama;Sony Pictures;2000
Hardball;Drama;Paramount Pictures;2001
A Beautiful Mind;Drama;Universal;2001
Thirteen Days;Drama;New Line;2000
Riding in Cars with Boys;Drama;Sony Pictures;2001
Baby Boy;Drama;Sony Pictures;2001
Captain Corelli's Mandolin;Drama;Miramax;2001
Sweet November;Drama;Warner Bros.;2001
Hearts in Atlantis;Drama;Warner Bros.;2001
Angel Eyes;Drama;Warner Bros.;2001
The Majestic;Drama;Warner Bros.;2001
Rock Star;Drama;Warner Bros.;2001
crazy/beautiful;Drama;Walt Disney;2001
O (Othello);Drama;Lionsgate;2001
Life as a House;Drama;New Line;2001
Pollock;Drama;Sony Pictures Classics;2000
The Man Who Wasn't There;Drama;USA Films;2001
Sexy Beast;Drama;Fox Searchlight;2001
Amores Perros;Drama;Lionsgate;2001
You Can Count on Me;Drama;Paramount Vantage;2000
Billy Elliot;Drama;Focus Features;2000
The Shipping News;Drama;Miramax;2001
In the Bedroom;Drama;Miramax;2001
Left Behind;Drama;Cloud Ten Pictures;2001
The Anniversary Party;Drama;Fine Line;2001
Before Night Falls;Drama;Fine Line;2000
Quills;Drama;Fox Searchlight;2000
The Widow of St. Pierre;Drama;Lionsgate;2001
Songcatcher;Drama;Lionsgate;2001
The Golden Bowl;Drama;Lionsgate;2001
Malena;Drama;Miramax;2000
The House of Mirth;Drama;Sony Pictures Classics;2000
Kabhi Khushi Kabhie Gham;Drama;Yash Raj Films;2001
In the Mood for Love;Drama;Focus Features;2001
Waking Life;Drama;Fox Searchlight;2001
Himalaya - l'enfance d'un chef;Drama;Kino International;2000
Gabriela;Drama;Power Point Films;2001
Innocence;Drama;IDP Distribution;2001
Remember the Titans;Drama;Walt Disney;2000
China: The Panda Adventure;Drama;IMAX Films;2001
Carman: The Champion;Drama;8X Entertainment;2001
Under the Sand;Drama;WellSpring;2001
Divided We Fall;Drama;Sony Pictures Classics;2001
Men of Honor;Drama;20th Century Fox;2000
The Road Home;Drama;Sony Pictures Classics;2001
L.I.E.;Drama;Lot 47 Films;2001
The Center of the World;Drama;Artisan;2001
The Luzhin Defence;Drama;Sony Pictures;2001
Liam;Drama;Lionsgate;2001
Left Luggage;Drama;Castle Hill Productions;2000
Der Krieger und die Kaiserin;Drama;Sony Pictures Classics;2001
An American Rhapsody;Drama;Paramount Vantage;2001
Requiem for a Dream;Drama;Artisan;2000
The Business of Strangers;Drama;IFC Films;2001
Chunhyang;Drama;Lot 47 Films;2000
Yi Yi;Drama;WellSpring;2000
The Man Who Cried;Drama;Focus Features;2001
Faithless;Drama;IDP Distribution;2001
Asoka;Drama;First Look;2001
Panic;Drama;Roxie Releasing;2000
The Caveman's Valentine;Drama;Focus Features;2001
Lumumba;Drama;Zeitgeist;2001
Focus;Drama;Paramount Vantage;2001
The Legend of Rita;Drama;Kino International;2001
The Other Side of Heaven;Drama;Excel Entertainment;2001
Dayereh;Drama;WinStar Cinema;2001
Yaadein;Drama;Tips Exports;2001
15 février 1839;Drama;Lionsgate;2001
Dinner Rush;Drama;Access Motion Picture Group;2001
Les Rivières Pourpres;Drama;;2001
My First Mister;Drama;Paramount Vantage;2001
Pay it Forward;Drama;Warner Bros.;2000
Bread and Roses;Drama;Lionsgate;2001
Our Lady of the Assassins;Drama;Paramount Vantage;2001
Fat Girl;Drama;Cowboy Pictures;2001
Big Eden;Drama;;2001
Bully;Drama;Lionsgate;2001
Intimacy;Drama;Empire Pictures;2001
The Affair of the Necklace;Drama;Warner Bros.;2001
Donnie Darko;Drama;Newmarket Films;2001
Bride of the Wind;Drama;Paramount Vantage;2001
Monster's Ball;Drama;Lionsgate;2001
Lantana;Drama;Lionsgate;2001
Nico and Dani;Drama;Avatar;2001
No Man's Land;Drama;MGM;2001
Wings of Courage;Drama;Sony Pictures Classics;1995
Chopper;Drama;First Look;2001
Kandahar;Drama;Avatar;2001
Plata quemada;Drama;Strand;2001
The Fluffer;Drama;TLA Releasing;2001
Bande à part;Drama;Rialto Pictures;1966
The Visit;Drama;;2000
Series 7: The Contenders;Drama;;2001
Boys to Men;Drama;Jour de Fete;2001
A Time for Drunken Horses;Drama;Shooting Gallery;2000
Place Vendome;Drama;Empire Pictures;2000
Bounce;Drama;Miramax;2000
Charlotte Gray;Drama;Warner Bros.;2001
I Am Sam;Drama;New Line;2001
Boys Life 3;Drama;Strand;2000
Downtown 81;Drama;;2001
ABCD;Drama;Eros Entertainment;2001
Dekalog;Drama;New Yorker;2000
Iris;Drama;Miramax;2001
The Invisible Circus;Drama;;2001
Eureka;Drama;;2001
The Amati Girls;Drama;Providence Entertainment;2001
Aberdeen;Drama;First Run Features;2001
Aimée & Jaguar;Drama;Zeitgeist;2000
Jackpot;Drama;;2001
Bob le flambeur;Drama;Triumph Releasing;1959
Abril Despedaçado;Drama;Miramax;2001
Baran;Drama;Miramax;2001
The Basket;Drama;MGM;2000
Suzhou River;Drama;Strand;2000
Auggie Rose;Drama;Roxie Releasing;2001
La baie des anges;Drama;Pathe Contemporary Films;1963
Sunshine;Drama;Paramount Vantage;1999
Adanggaman;Drama;New Yorker;2001
Cleopatra's Second Husband;Drama;Indican Pictures;2000
Goya in Bordeaux;Drama;Sony Pictures Classics;2000
Maze;Drama;;2001
Pola X;Drama;;2000
Forgive Me Father;Drama;Myriad Entertainment Group;2001
The Annihilation of Fish;Drama;Regent Releasing;2001
à bout de souffle;Drama;Films Around the World;1961
Journey to the Sun;Drama;;2001
Otomo;Drama;ArtMattan Films;2001
Beau Travail;Drama;New Yorker;2000
Rembrandt;Drama;;2001
Come and See;Drama;Self Distributed;1987
The River;Drama;;2001
La chambre des magiciennes;Drama;;2001
Hamlet;Drama;;2001
Burlesk King;Drama;Strand;2000
The Weekend;Drama;;2000
A Sensible Obsession;Drama;Westar Distributions;2001
Mauvais sang;Drama;;1987
Diary of a Chambermaid;Drama;;2000
A Beautiful Mind;Drama;Universal;2001
8 Mile;Drama;Universal;2002
Road to Perdition;Drama;Dreamworks SKG;2002
Catch Me if You Can;Drama;Dreamworks SKG;2002
We Were Soldiers;Drama;Paramount Pictures;2002
E.T. the Extra-Terrestrial;Drama;Universal;1982
The Rookie;Drama;Walt Disney;2002
Gangs of New York;Drama;Miramax;2002
A Walk to Remember;Drama;Warner Bros.;2002
I Am Sam;Drama;New Line;2001
Blue Crush;Drama;Universal;2002
Crossroads;Drama;Paramount Pictures;2002
In the Bedroom;Drama;Miramax;2001
Monster's Ball;Drama;Lionsgate;2001
City by the Sea;Drama;Warner Bros.;2002
Frida;Drama;Miramax;2002
Hart's War;Drama;MGM;2002
Tuck Everlasting;Drama;Walt Disney;2002
The Four Feathers;Drama;Paramount Pictures;2002
Empire;Drama;Universal;2002
White Oleander;Drama;Warner Bros.;2002
Solaris;Drama;20th Century Fox;2002
The Good Girl;Drama;Fox Searchlight;2002
The Emperor's Club;Drama;Universal;2002
Y Tu Mamá También;Drama;IFC Films;2002
Undisputed;Drama;Miramax;2002
About Schmidt;Drama;New Line;2002
Knockaround Guys;Drama;New Line;2002
Far From Heaven;Drama;Focus Features;2002
Possession;Drama;Focus Features;2002
Ali;Drama;Sony Pictures;2001
The Shipping News;Drama;Miramax;2001
Moonlight Mile;Drama;Walt Disney;2002
Antwone Fisher;Drama;Fox Searchlight;2002
Deuces Wild;Drama;MGM;2002
Iris;Drama;Miramax;2001
El crimen de padre Amaro;Drama;Goldwyn Entertainment;2002
The Majestic;Drama;Warner Bros.;2001
Lovely and Amazing;Drama;Lionsgate;2002
Lantana;Drama;Lionsgate;2001
The Other Side of Heaven;Drama;Excel Entertainment;2001
Secretary;Drama;Lionsgate;2002
The Fast Runner;Drama;Lot 47 Films;2002
Thirteen Conversations About One Thing;Drama;Sony Pictures Classics;2002
The Cat's Meow;Drama;Lionsgate;2002
American Adobo;Drama;Outrider Pictures;2002
Sunshine State;Drama;Sony Pictures Classics;2002
Paid in Full;Drama;Rat Entertainment;2002
Sex and Lucia;Drama;Palm Pictures;2002
Last Orders;Drama;Sony Pictures Classics;2002
Hable con ella;Drama;Sony Pictures Classics;2002
Auto Focus;Drama;Sony Pictures Classics;2002
La Pianiste;Drama;Kino International;2002
Harrison's Flowers;Drama;Universal;2002
The Dangerous Lives of Altar Boys;Drama;ThinkFilm;2002
Seraphin un Homme et Son;Drama;Odeon Films;2002
Rabbit-Proof Fence;Drama;Miramax;2002
Late Marriage;Drama;Magnolia Pictures;2002
Ararat;Drama;Miramax;2002
Apollo 13;Drama;Universal;1995
Joshua;Drama;Artisan;2002
Read My Lips;Drama;Magnolia Pictures;2002
Nueve Reinas;Drama;Sony Pictures Classics;2002
China: The Panda Adventure;Drama;IMAX Films;2001
Kandahar;Drama;Avatar;2001
24 Hour Party People;Drama;MGM;2002
The Hours;Drama;Paramount Pictures;2002
The Last Kiss;Drama;ThinkFilm;2002
Evelyn;Drama;MGM;2002
The Son's Room;Drama;Miramax;2002
The Pianist;Drama;Focus Features;2002
Time Changer;Drama;Five & Two Pictures;2002
Kaante;Drama;Media Partners;2002
Storytelling;Drama;Fine Line;2002
Russkiy kovcheg;Drama;WellSpring;2002
No Man's Land;Drama;MGM;2001
Bloody Sunday;Drama;Paramount Vantage;2002
Personal Velocity;Drama;MGM;2002
Savage Messiah;Drama;Christal Films;2002
The Emperor's New Clothes;Drama;Paramount Vantage;2002
25th Hour;Drama;Walt Disney;2002
Forgive Me Father;Drama;Myriad Entertainment Group;2001
Charlotte Gray;Drama;Warner Bros.;2001
The Man Who Wasn't There;Drama;USA Films;2001
Time Out;Drama;;2002
The Believer;Drama;Sony Pictures;2002
The Fluffer;Drama;TLA Releasing;2001
The Quiet American;Drama;Miramax;2002
Jibeuro;Drama;;2002
Waking Life;Drama;Fox Searchlight;2001
Skins;Drama;First Look;2002
The Business of Strangers;Drama;IFC Films;2001
Circuit;Drama;Jour de Fete;2002
In Praise of Love;Drama;;2002
Nicholas Nickleby;Drama;United Artists;2002
Murderous Maids;Drama;;2002
Tully;Drama;;2002
Betty Fisher et autres histoires;Drama;WellSpring;2002
The Business of Fancy Dancing;Drama;Outrider Pictures;2002
Confessions of a Dangerous Mind;Drama;Miramax;2002
Fat Girl;Drama;Cowboy Pictures;2001
Swimming;Drama;;2002
Shiqi sui de dan che;Drama;Sony Pictures Classics;2002
All or Nothing;Drama;MGM;2002
Dahmer;Drama;;2002
The Cherry Orchard;Drama;;2002
Stolen Summer;Drama;Miramax;2002
Big Bad Love;Drama;IFC Films;2002
Intimacy;Drama;Empire Pictures;2001
Shiri;Drama;;2002
Hometown Legend;Drama;;2002
Code Unknown;Drama;;2001
Donnie Darko;Drama;Newmarket Films;2001
Baran;Drama;Miramax;2001
Borstal Boy;Drama;Strand;2002
Himalaya - l'enfance d'un chef;Drama;Kino International;2000
Dekalog;Drama;New Yorker;2000
Intacto;Drama;;2002
Max;Drama;Lionsgate;2002
Taliesin Jones;Drama;;2002
Hardball;Drama;Paramount Pictures;2001
Umberto D;Drama;Janus Films;1955
Saathiya;Drama;;2002
Langrishe, Go Down;Drama;;2002
Wings of Courage;Drama;Sony Pictures Classics;1995
